 , , , , , , , ,SR, , , ,AF, , , ,SR %, , , ,AF %, 
ID, ,N_train, N_test,Nmasked,Used %, ,SR,Uncertain,AF, ,SR,Uncertain,AF, ,SR,Uncertain,AF, ,SR,Uncertain,AF,
001_2017_05_16, , 117425, 7269, 372, 94.88,  , 7129, 140, 0, , 0, 0, 0,  , 98.07, 1.93, 0.00,  , 0.00, 0.00, 0.00, 
002_2017_05_16, , 118964, 6152, 796, 87.06,  , 5465, 176, 511, , 0, 0, 0,  , 88.83, 2.86, 8.31,  , 0.00, 0.00, 0.00, 
003_2017_05_29, , 119029, 6164, 874, 85.82,  , 5900, 239, 25, , 0, 0, 0,  , 95.72, 3.88, 0.41,  , 0.00, 0.00, 0.00, 
004_2017_05_29, , 120815, 5376, 1868, 65.25,  , 3540, 1833, 3, , 0, 0, 0,  , 65.85, 34.10, 0.06,  , 0.00, 0.00, 0.00, 
005_2017_06_02, , 121529, 5575, 2767, 50.37,  , 2948, 2523, 104, , 0, 0, 0,  , 52.88, 45.26, 1.87,  , 0.00, 0.00, 0.00, 
009_2017_06_09, , 119856, 5506, 1023, 81.42,  , 4739, 767, 0, , 0, 0, 0,  , 86.07, 13.93, 0.00,  , 0.00, 0.00, 0.00, 
013_2017_06_21, , 120211, 5475, 1362, 75.12,  , 3580, 340, 1555, , 0, 0, 0,  , 65.39, 6.21, 28.40,  , 0.00, 0.00, 0.00, 
016_2017_06_27, , 117620, 8082, 1369, 83.06,  , 7683, 399, 0, , 0, 0, 0,  , 95.06, 4.94, 0.00,  , 0.00, 0.00, 0.00, 
017_2017_06_27, , 119175, 6174, 1021, 83.46,  , 5416, 758, 0, , 0, 0, 0,  , 87.72, 12.28, 0.00,  , 0.00, 0.00, 0.00, 
018_2017_06_29, , 121837, 3737, 1227, 67.17,  , 2824, 883, 30, , 0, 0, 0,  , 75.57, 23.63, 0.80,  , 0.00, 0.00, 0.00, 
022_2017_07_17, , 119254, 5497, 422, 92.32,  , 5378, 119, 0, , 0, 0, 0,  , 97.84, 2.16, 0.00,  , 0.00, 0.00, 0.00, 
026_2017_08_05, , 119707, 5729, 1117, 80.50,  , 4626, 726, 377, , 0, 0, 0,  , 80.75, 12.67, 6.58,  , 0.00, 0.00, 0.00, 
027_2017_08_05, , 119365, 9252, 4297, 53.56,  , 5050, 4202, 0, , 0, 0, 0,  , 54.58, 45.42, 0.00,  , 0.00, 0.00, 0.00, 
029_2017_08_20, , 120782, 6276, 2719, 56.68,  , 3762, 2514, 0, , 0, 0, 0,  , 59.94, 40.06, 0.00,  , 0.00, 0.00, 0.00, 
030_2017_08_20, , 122593, 6039, 4285, 29.04,  , 1218, 4811, 10, , 0, 0, 0,  , 20.17, 79.67, 0.17,  , 0.00, 0.00, 0.00, 
AF_006_2017_06_07, , 122256, 4615, 2551, 44.72,  , 0, 0, 0, , 23, 2593, 1999,  , 0.00, 0.00, 0.00,  , 0.50, 56.19, 43.32, 
AF_007_2017_06_07, , 120778, 4759, 1217, 74.43,  , 0, 0, 0, , 22, 801, 3936,  , 0.00, 0.00, 0.00,  , 0.46, 16.83, 82.71, 
AF_008_2017_06_08, , 118330, 6366, 376, 94.09,  , 0, 0, 0, , 44, 74, 6248,  , 0.00, 0.00, 0.00,  , 0.69, 1.16, 98.15, 
AF_010_2017_06_11, , 120686, 4965, 1313, 73.55,  , 0, 0, 0, , 48, 966, 3951,  , 0.00, 0.00, 0.00,  , 0.97, 19.46, 79.58, 
AF_011_2017_06_16, , 120601, 5875, 2134, 63.68,  , 0, 0, 0, , 33, 1066, 4776,  , 0.00, 0.00, 0.00,  , 0.56, 18.14, 81.29, 
AF_012_2017_06_19, , 119654, 6618, 1952, 70.50,  , 0, 0, 0, , 35, 1512, 5071,  , 0.00, 0.00, 0.00,  , 0.53, 22.85, 76.62, 
AF_014_2017_06_21, , 120135, 6593, 2381, 63.89,  , 0, 0, 0, , 262, 1767, 4564,  , 0.00, 0.00, 0.00,  , 3.97, 26.80, 69.22, 
AF_015_2017_06_22, , 118052, 7050, 777, 88.98,  , 0, 0, 0, , 755, 484, 5811,  , 0.00, 0.00, 0.00,  , 10.71, 6.87, 82.43, 
AF_019_2017_06_29, , 118890, 9191, 3742, 59.29,  , 0, 0, 0, , 249, 2941, 6001,  , 0.00, 0.00, 0.00,  , 2.71, 32.00, 65.29, 
AF_020_2017_06_17, , 120980, 5578, 2220, 60.20,  , 0, 0, 0, , 173, 2084, 3321,  , 0.00, 0.00, 0.00,  , 3.10, 37.36, 59.54, 
AF_021_2017_06_30, , 119376, 6132, 1176, 80.82,  , 0, 0, 0, , 127, 503, 5502,  , 0.00, 0.00, 0.00,  , 2.07, 8.20, 89.73, 
AF_023_2017_08_04, , 123670, 7691, 7014, 8.80,  , 0, 0, 0, , 57, 7604, 30,  , 0.00, 0.00, 0.00,  , 0.74, 98.87, 0.39, 
AF_024_2017_08_04, , 117833, 8034, 1545, 80.77,  , 0, 0, 0, , 136, 1165, 6733,  , 0.00, 0.00, 0.00,  , 1.69, 14.50, 83.81, 
AF_025_2017_08_04, , 121473, 7389, 4530, 38.69,  , 0, 0, 0, , 51, 4519, 2819,  , 0.00, 0.00, 0.00,  , 0.69, 61.16, 38.15, 
